date,code,volume,open,high,low,adj_close,moving_average_2,moving_average_3,moving_average_5,moving_average_10,moving_average_20,pre_profit,profit
2010.1.4,15760,1924201,33800,34300,33800,34250,,,,,,,
2010.1.5,15760,2372496,34150,34200,33900,34050,34150,,,,,-0.005839416,
2010.1.6,15760,2462029,34000,34350,33900,34000,34025,34100,,,,-0.001468429,-0.005839416
2010.1.7,15760,1903515,33900,34000,33700,33800,33900,33950,,,,-0.005882353,-0.001468429
2010.1.8,15760,2643550,33700,34000,33500,33800,33800,33866.66667,33980,,,0,-0.005882353
2010.1.11,15760,10425297,34050,35750,34000,34900,34350,34166.66667,34110,,,0.032544379,0
2010.1.12,15760,7486637,35600,36050,35350,35650,35275,34783.33333,34430,,,0.021489971,0.032544379
2010.1.13,15760,6540654,35600,36550,35450,36100,35875,35550,34850,,,0.012622721,0.021489971
2010.1.14,15760,3480977,36250,36700,36000,36450,36275,36066.66667,35380,,,0.009695291,0.012622721
2010.1.15,15760,2381914,36350,36550,36000,36300,36375,36283.33333,35880,34930,,-0.004115226,0.009695291
2010.1.18,15760,9508004,37000,38800,37000,38000,37150,36916.66667,36500,35305,,0.046831956,-0.004115226
2010.1.19,15760,9120673,38350,41000,38100,40050,39025,38116.66667,37380,35905,,0.053947368,0.046831956
2010.1.20,15760,8405178,40500,42250,40400,41600,40825,39883.33333,38480,36665,,0.038701623,0.053947368
2010.1.21,15760,5006027,41100,41750,40600,41050,41325,40900,39400,37390,,-0.013221154,0.038701623
2010.1.22,15760,5858081,40400,41550,39900,41300,41175,41316.66667,40400,38140,,0.006090134,-0.013221154
2010.1.25,15760,6394106,41000,41500,38150,38750,40025,40366.66667,40550,38525,,-0.061743341,0.006090134
2010.1.26,15760,5065440,39000,39550,37800,38450,38600,39500,40230,38805,,-0.007741935,-0.061743341
2010.1.27,15760,4469057,38400,40300,37900,39850,39150,39016.66667,39880,39180,,0.036410923,-0.007741935
2010.1.28,15760,2367535,40000,40100,39100,39350,39600,39216.66667,39540,39470,,-0.012547051,0.036410923
2010.1.29,15760,2458114,38900,39300,38200,38350,38850,39183.33333,38950,39675,37302.5,-0.025412961,-0.012547051
2010.2.1,15760,2260096,38100,39200,37750,38500,38425,38733.33333,38900,39725,37515,0.003911343,-0.025412961
2010.2.2,15760,1793324,38800,39050,38100,38200,38350,38350,38850,39540,37722.5,-0.007792208,0.003911343
2010.2.3,15760,1989374,38600,38800,37600,37900,38050,38200,38460,39170,37917.5,-0.007853403,-0.007792208
2010.2.4,15760,4038152,38600,39600,38400,39500,38700,38533.33333,38490,39015,38202.5,0.042216359,-0.007853403
2010.2.5,15760,3416055,38550,39300,38300,39000,39250,38800,38620,38785,38462.5,-0.012658228,0.042216359
2010.2.8,15760,1927641,39050,39100,38050,38100,38550,38866.66667,38540,38720,38622.5,-0.023076923,-0.012658228
2010.2.9,15760,2469308,37950,38200,37250,37700,37900,38266.66667,38440,38645,38725,-0.010498688,-0.023076923
2010.2.10,15760,1996962,37850,38200,37350,37400,37550,37733.33333,38340,38400,38790,-0.00795756,-0.010498688
2010.2.11,15760,4625251,38500,39300,38000,39200,38300,38100,38280,38385,38927.5,0.048128342,-0.00795756
2010.2.12,15760,4168134,39350,40750,39200,40400,39800,39000,38560,38590,39132.5,0.030612245,0.048128342
2010.2.16,15760,1530847,40000,40500,39750,40000,40200,39866.66667,38940,38740,39232.5,-0.00990099,0.030612245
