date,code,volume,open,high,low,adj_close,moving_average_2,moving_average_3,moving_average_5,moving_average_10,moving_average_20,pre_profit,profit
2010.1.4,92730,9998,7200,7370,7200,7240,,,,,,,
2010.1.5,92730,15983,7240,7420,7240,7400,7320,,,,,0.022099448,
2010.1.6,92730,31941,7420,7760,7400,7650,7525,7430,,,,0.033783784,0.022099448
2010.1.7,92730,12102,7630,7800,7620,7690,7670,7580,,,,0.005228758,0.033783784
2010.1.8,92730,35077,7560,7780,7500,7590,7640,7643.333333,7514,,,-0.013003901,0.005228758
2010.1.11,92730,30828,7480,7700,7480,7680,7635,7653.333333,7602,,,0.011857708,-0.013003901
2010.1.12,92730,15187,7610,7710,7510,7550,7615,7606.666667,7632,,,-0.016927083,0.011857708
2010.1.13,92730,27177,7490,7690,7410,7600,7575,7610,7622,,,0.006622517,-0.016927083
2010.1.14,92730,27228,7540,7950,7540,7900,7750,7683.333333,7664,,,0.039473684,0.006622517
2010.1.15,92730,37687,8010,8230,7750,8150,8025,7883.333333,7776,7645,,0.03164557,0.039473684
2010.1.18,92730,29563,8100,8290,7950,8090,8120,8046.666667,7858,7730,,-0.007361963,0.03164557
2010.1.19,92730,21610,8100,8270,8000,8050,8070,8096.666667,7958,7795,,-0.004944376,-0.007361963
2010.1.20,92730,14440,8140,8250,8050,8130,8090,8090,8064,7843,,0.009937888,-0.004944376
2010.1.21,92730,16265,8150,8150,7970,8030,8080,8070,8090,7877,,-0.012300123,0.009937888
2010.1.22,92730,26698,8080,8080,7780,7860,7945,8006.666667,8032,7904,,-0.02117061,-0.012300123
2010.1.25,92730,17365,7850,7980,7740,7800,7830,7896.666667,7974,7916,,-0.007633588,-0.02117061
2010.1.26,92730,60667,7870,8490,7700,8310,8055,7990,8026,7992,,0.065384615,-0.007633588
2010.1.27,92730,37707,8320,8430,8060,8060,8185,8056.666667,8012,8038,,-0.030084236,0.065384615
2010.1.28,92730,8883,8070,8260,7780,7800,7930,8056.666667,7966,8028,,-0.032258065,-0.030084236
2010.1.29,92730,15036,7700,7910,7350,7400,7600,7753.333333,7874,7953,7799,-0.051282051,-0.032258065
2010.2.1,92730,16424,7350,7450,7210,7220,7310,7473.333333,7758,7866,7798,-0.024324324,-0.051282051
2010.2.2,92730,9345,7490,7490,7100,7230,7225,7283.333333,7542,7784,7789.5,0.001385042,-0.024324324
2010.2.3,92730,4629,7370,7370,7200,7360,7295,7270,7402,7707,7775,0.017980636,0.001385042
2010.2.4,92730,1035,7440,7440,7300,7410,7385,7333.333333,7324,7645,7761,0.006793478,0.017980636
2010.2.5,92730,5969,7320,7320,7000,7160,7285,7310,7276,7575,7739.5,-0.033738192,0.006793478
