company,year,PROFIT,INTEREST,GAS,ROE,EPS,BPS,PER,PBR,PSR,DR,ASSET,SALES,OPERATION_PROFIT,CASH_FLOW
삼성전자,2010,0.11543774500653359,2.89,64.58,19.89,92862.98,548697.87,10.21936,1.72955,1.04414,50.3,134288744000.0,154630328000.0,16621030000.0,27192931000.0
LG화학,2010,0.36620901653008286,2.89,64.58,31.95,29205.08,104451.35,13.38808,3.74337,1.48396,61.57,12673459000.0,19471450000.0,2839921000.0,2830366000.0
LG생활건강,2010,0.3079556461522892,2.89,64.58,31.61,13016.22,48482.65,29.96262,8.04411,2.44473,130.26,1945002973.41,2826483495.43,327476025.52,310421938.17
KT&G,2010,0.058380414312617646,2.89,64.58,23.95,7515.51,34765.24,8.60886,1.86105,2.56624,25.63,5777059067.0,3461418374.98,1081164112.0,1180820365.76
LG전자,2010,-0.17097937998662383,2.89,64.58,10.14,7581.62,78407.8,15.56396,1.50495,0.34251,151.32,32318499000.0,55753804000.0,88154000.0,2516725000.0
삼성SDI,2010,-0.013925771571604684,2.89,64.58,6.78,7548.35,132038.89,22.25652,1.27235,1.54668,27.33,7933567380.29,5124274937.34,234223828.75,731594616.4
LG,2010,-0.013400468883205452,2.89,64.58,17.01,8692.76,56102.2,10.04284,1.55609,1.61954,34.65,13778868000.0,9480201000.0,1942190000.0,1824525000.0
LG디스플레이,2010,-0.2470778727925922,2.89,64.58,10.99,3231.67,30842.85,12.31561,1.29041,0.55822,115.69,23857658000.0,25511535000.0,1688560000.0,4081721000.0
삼성전기,2010,-0.2210227364412386,2.89,64.58,20.14,7147.54,44940.55,17.34863,2.7592,1.70276,79.76,6835957517.35,5651126902.57,465702280.65,1073973769.91
LG유플러스,2010,-0.2186976144422953,2.89,64.58,19.22,1112.68,9034.2,6.4439,0.79365,0.46051,115.91,8525229000.0,7974743000.0,129288000.0,1823400000.0
LG이노텍,2010,-0.3002101337753048,2.89,64.58,16.54,10240.49,73047.84,13.08531,1.83441,0.62371,181.22,4133860414.09,4103476714.79,153161119.04,479071409.88
팬오션,2010,-0.3204098360655737,2.89,64.58,3.24,380.86,11910.99,30.06354,0.9613,0.36434,146.58,6005258000.0,6469345000.0,94129000.0,203140000.0
한화테크윈,2010,-0.25284314426721977,2.89,64.58,20.0,4393.6,23829.78,23.55699,4.3433,1.88061,128.07,2897943183.29,2924031630.35,213839116.94,329616805.82
휠라코리아,2010,0.004247353472760063,2.89,64.58,34.82,9901.01,34646.22,7.89818,2.2571,1.07074,115.31,680666953.59,615548842.79,97816069.03,89208189.1
