company,year,per,pbr,psr,profit
삼성전자,2001,16.11,1.73,0.76,0.341885594
SK하이닉스,2001,,0.53,0.38,5.356552962
현대차,2001,6.68,0.65,0.15,-0.31733218
LG화학,2001,17.07,1.37,0.48,-1
POSCO,2001,13.78,0.79,0.7,-0.026873762
현대모비스,2001,5.38,0.94,0.3,-0.566902354
한국전력,2001,8.5,0.44,0.72,0.328420774
신한지주,2001,23.82,1.09,1.5,-1
SK텔레콤,2001,20.85,2.98,2.43,5.133397726
LG생활건강,2001,9.2,1.91,0.62,-1
KT&G,2001,11.13,1.05,1.73,0.235154816
LG,2001,2.17,0.49,0.28,1.1720801
삼성SDI,2001,5.01,0.92,0.48,-0.185660497
기아차,2001,7.57,1,0.26,-0.258234057
S-Oil,2001,130.18,1.17,0.25,-0.285091623
삼성화재,2001,14.2,1.13,0.39,-0.233444007
아모레G,2001,7.83,0.79,0.4,-0.645163755
롯데케미칼,2001,75.45,0.36,0.31,0.038106236
카카오,2001,,6.6,4.01,1.913087095
우리은행,2001,12.07,2.91,1.14,1.265895954
엔씨소프트,2001,63.1,3.88,4.08,-0.123856739
고려아연,2001,10.16,0.61,0.21,-0.102565661
기업은행,2001,4.81,0.68,0.2,-0.089396628
현대중공업,2001,,0.58,0.24,-0.029534548
강원랜드,2001,12.85,6.59,6.58,-1
삼성전기,2001,30.08,1.77,0.89,0.497631401
KT,2001,14.01,1.49,1.1,0.559061834
코웨이,2001,6.34,0.79,0.38,-0.138142748
현대제철,2001,14.09,0.26,0.14,-0.064585576
한미사이언스,2001,2.86,0.36,0.23,0.127223268
미래에셋대우,2001,35.63,1.45,2.08,-0.13015035
한온시스템,2001,5.51,1.12,0.34,0.118201733
CJ,2001,9.67,0.49,0.11,0.374813617
LG유플러스,2001,11.24,2.02,0.58,0.405419223
한화케미칼,2001,,0.29,0.1,0.389172932
삼성중공업,2001,15.13,0.61,0.25,-0.072658547
DB손해보험,2001,2.32,0.62,0.07,-0.006443299
롯데지주,2001,6.74,0.44,0.26,-0.332909519
효성,2001,7.19,0.19,0.07,-0.144363607
한국가스공사,2001,4.5,0.49,0.18,0.343408657
KCC,2001,14.14,0.62,0.39,-0.318230067
NH투자증권,2001,21.61,1.05,1.2,0.416666667
현대건설,2001,,5.11,0.34,0.544830741
에스원,2001,27.36,1.77,1.35,0.120766159
현대해상,2001,3.67,0.67,0.06,-0.197474786
CJ대한통운,2001,0.82,0.09,0.05,0.323762588
호텔신라,2001,33.83,0.58,0.57,-0.151603499
삼성증권,2001,64.66,1.69,2.37,-0.277114952
대한항공,2001,,0.16,0.09,0.240127099
한화,2001,,0.24,0.03,0.363897878
OCI,2001,,0.2,0.06,-0.226536385
대림산업,2001,27.77,0.23,0.13,-0.318150841
오뚜기,2001,4.46,0.31,0.06,0.136261506
현대산업,2001,,0.36,0.13,0.042348609
신세계,2001,15.68,1.67,0.35,-0.422511837
유한양행,2001,10.2,0.9,1.23,-0.306658331
대우건설,2001,1.39,0.24,0.07,-1
두산,2001,,0.52,0.08,0.210551895
제일기획,2001,18.34,1.96,1.31,0.118902228
포스코대우,2001,,,0.01,-1
금호석유,2001,,0.15,0.01,0.194911937
농심,2001,6.2,0.6,0.33,-0.129385322
영풍,2001,,0.19,0.23,3.89249E-05
한화테크윈,2001,,0.6,0.3,0.664645103
두산인프라코어,2001,4.4,0.51,0.16,-1
두산중공업,2001,34.2,0.46,0.25,-0.447771305
롯데칠성,2001,6.95,0.6,0.26,-0.576118819
오리온홀딩스,2001,5.76,0.24,0.08,0.328707958
삼성전자,2002,7.92,2.28,1.02,-0.416817186
SK하이닉스,2002,,0.97,1,1.916230366
현대차,2002,5.46,0.98,0.23,-0.415142062
LG화학,2002,12.21,2.8,0.65,-0.573528665
POSCO,2002,10.1,0.94,0.82,-0.24394915
NAVER,2002,17.78,5,5.61,-1
현대모비스,2002,4.6,1.6,0.53,-0.571866498
한국전력,2002,3.83,0.39,0.65,0.03673376
신한지주,2002,6.17,1.23,0.83,-0.223971898
SK텔레콤,2002,13.73,2.92,2.41,-0.096613242
LG생활건강,2002,14.98,2.56,0.61,-0.313776873
KT&G,2002,8.85,1,1.58,-0.008860462
LG,2002,3.84,0.36,0.14,-0.046413888
LG전자,2002,23.52,2.38,0.52,-1
삼성SDI,2002,5.6,1.24,0.63,-0.345553615
기아차,2002,4.56,1.02,0.25,-0.207589079
S-Oil,2002,9.87,1.42,0.33,0.53039271
삼성화재,2002,9.8,1.78,0.54,-0.472235051
아모레G,2002,5.07,1.29,0.7,-0.500370334
롯데케미칼,2002,11.61,0.78,0.57,-0.565399881
카카오,2002,128.67,5.17,1.8,-0.009097208
우리은행,2002,10.92,1.99,1.26,0
엔씨소프트,2002,9.4,4.09,5.13,-0.341720804
고려아연,2002,4.49,0.68,0.28,-0.241258419
기업은행,2002,3.77,1.02,0.51,-0.419670443
현대중공업,2002,,0.5,0.2,0.02993651
강원랜드,2002,10.73,4.82,6.9,-0.075199546
삼성전기,2002,16.2,2.4,1.16,-0.315237539
KT,2002,8.11,1.38,1,0.071693802
코웨이,2002,7.55,2.41,1.11,-0.739712345
현대제철,2002,4.55,0.4,0.21,-0.415539478
한미사이언스,2002,4.14,0.73,0.39,-0.549023308
미래에셋대우,2002,,1.02,1.53,0.217749825
한온시스템,2002,5.46,1.32,0.48,-0.339810099
CJ,2002,4.67,0.62,0.12,-0.255311941
LG유플러스,2002,16.75,2.19,0.85,-0.144731089
한화케미칼,2002,10.09,0.43,0.14,-0.325831306
삼성중공업,2002,8.34,0.54,0.24,0.038830716
DB손해보험,2002,1.89,0.58,0.06,-0.28720147
롯데지주,2002,6.61,1.11,0.7,-0.664381017
효성,2002,7.03,0.25,0.1,-0.194879558
한국가스공사,2002,5.87,0.48,0.2,-0.071129482
KCC,2002,8.26,1.07,0.67,-0.471285748
NH투자증권,2002,26.49,1.41,2.06,-0.456569107
현대건설,2002,,3.03,0.31,-0.209403255
한샘,2002,9.1,2.23,0.49,-1
에스원,2002,22.51,2.54,1.77,-0.367539757
현대해상,2002,3.98,0.91,0.09,-0.655391064
CJ대한통운,2002,1.43,0.12,0.08,-0.595194726
호텔신라,2002,29.28,0.72,0.75,-0.211594943
삼성증권,2002,24.13,1.43,2.4,-0.113066976
대한항공,2002,9.65,0.36,0.19,-0.564509752
한화,2002,,0.38,0.03,-0.076693227
OCI,2002,4.23,0.31,0.12,-0.31483439
대림산업,2002,5.78,0.41,0.17,-0.406818488
오뚜기,2002,4.21,0.46,0.1,-0.404428904
현대산업,2002,5.17,0.53,0.23,-0.382126153
신세계,2002,12.36,2.99,0.56,-0.539774609
유한양행,2002,8.1,0.98,1.37,-0.127461175
대우건설,2002,4.36,0.34,0.16,-0.249064838
두산,2002,,0.63,0.08,0.097167911
제일기획,2002,10.64,2.32,1.38,-0.254579415
포스코대우,2002,1.12,0.29,0.02,-0.323723515
금호석유,2002,,0.15,0.01,-0.098447424
농심,2002,8.13,0.97,0.53,-0.363405621
현대백화점,2002,37.1,0.89,0.73,-1
영풍,2002,,0.2,0.18,0.014112028
한화테크윈,2002,13.63,0.73,0.36,-0.221678322
두산인프라코어,2002,5.5,0.72,0.22,-0.374389393
두산중공업,2002,8.07,0.45,0.23,-0.060702469
롯데칠성,2002,6.26,1.51,0.84,-0.681985518
오리온홀딩스,2002,4.54,0.55,0.16,-0.603092972
삼성전자,2003,13.35,1.99,1.01,-0.079058711
SK하이닉스,2003,,0.95,0.47,-0.796288396
현대차,2003,8.01,0.79,0.2,0.068205698
LG화학,2003,15.77,2.59,0.68,-0.131893322
POSCO,2003,7.38,0.82,0.65,-0.000905526
NAVER,2003,29.71,8.87,8.71,-0.623847694
현대모비스,2003,10.44,1.6,0.51,-0.221542775
한국전력,2003,5.9,0.34,0.56,0.104151935
신한지주,2003,19.04,0.96,0.64,0.150993377
SK텔레콤,2003,8.49,1.95,1.55,0.330271405
LG생활건강,2003,11.36,1.81,0.47,0.334906942
KT&G,2003,8.15,0.97,1.44,-0.123579326
LG,2003,23.42,0.41,0.02,0.313452538
LG전자,2003,13.15,2.29,0.22,-0.086402608
삼성SDI,2003,10.41,1.1,0.63,-0.079856935
기아차,2003,5.74,0.61,0.21,0.240813045
S-Oil,2003,12.48,1.23,0.29,0.018467132
삼성화재,2003,24.6,1.19,0.47,0.186736306
아모레G,2003,6.82,1.02,0.66,0.016919804
롯데케미칼,2003,9.3,1.1,0.82,-0.420147615
카카오,2003,27.49,5.34,4.94,-0.381748766
우리은행,2003,,,,0
엔씨소프트,2003,39.23,3.68,5.01,0.687181598
고려아연,2003,13.81,0.54,0.23,0.002729081
기업은행,2003,11.67,0.75,0.37,0.319069452
현대중공업,2003,19.62,0.52,0.2,-0.050116417
강원랜드,2003,13.23,3.16,4.05,0.404197386
삼성전기,2003,,1.77,0.87,0.502695174
KT,2003,15.84,1.25,0.84,0.136614506
코웨이,2003,14.28,1.78,0.66,0.345337275
현대제철,2003,5.12,0.27,0.19,-0.046061515
한미사이언스,2003,13.31,0.81,0.43,-0.133913612
미래에셋대우,2003,7.24,0.74,1.19,0.568734927
한온시스템,2003,12.76,1.41,0.56,-0.225251705
CJ,2003,4.62,0.52,0.13,0.074150444
LG유플러스,2003,12.9,1.17,0.5,0.714392804
한화케미칼,2003,11.03,0.52,0.21,-0.195694716
삼성중공업,2003,9.64,0.57,0.27,-0.105735466
DB손해보험,2003,8.77,0.53,0.07,0.066971578
롯데지주,2003,6.06,0.83,0.59,0.147214163
효성,2003,9.02,0.21,0.07,0.26806877
한국가스공사,2003,6.68,0.65,0.25,-0.299356829
KCC,2003,6.15,0.64,0.49,0.189016311
NH투자증권,2003,297.47,0.98,1.54,0.413551985
현대건설,2003,9.49,1.66,0.22,0.496212121
한샘,2003,16.64,1.89,0.46,0.126918099
에스원,2003,18.25,2.25,1.6,-0.027253287
현대해상,2003,7.1,0.78,0.09,0.200191052
한국금융지주,2003,4.87,0.37,0.49,-1
CJ대한통운,2003,3.88,0.11,0.08,0.005669923
호텔신라,2003,21.85,0.44,0.5,0.624014932
삼성증권,2003,18.12,1.08,1.65,0.456484955
대한항공,2003,,0.33,0.17,0.101306241
한화,2003,12.61,0.35,0.01,-0.139674379
OCI,2003,5.83,0.31,0.12,-0.057221161
대림산업,2003,8.26,0.56,0.24,-0.368935754
오뚜기,2003,5.27,0.45,0.11,-0.086117796
현대산업,2003,5.15,0.52,0.24,-0.095575626
신세계,2003,19.36,2.54,0.6,-0.022527343
